name,cause_area,country,website
The Karen Hilltribes Trust: Transforming Community Health [Round 2],Livelihood,Thailand,
The Karen Hilltribes Trust: Transforming Community Health,Livelihood,Thailand,
Foundation for the Education of Rural Children (FERC),Livelihood,Thailand,https://give2asia.squarespace.com/how-to-make-a-gift
Asian Youth Orchestra,Livelihood,Thailand,http://www.asianyouthorchestra.com/
Development and Education Programme for Daughters and Communities (DEPDC),Livelihood,Thailand,https://depdcblog.wordpress.com/
Schools of Hope Foundation,Livelihood,Thailand,http://schoolsofhopefoundation.org/blog/
Foundation for the Education of Rural Children (FERC),Media,Thailand,https://give2asia.squarespace.com/how-to-make-a-gift
Schools of Hope Foundation,Media,Thailand,http://schoolsofhopefoundation.org/blog/
Asian Institute of Technology,Social Services,Thailand,http://www.give2asia.org/terms-and-conditions
Karen Hilltribes Trust,Social Services,Thailand,
The Life Skills Development Foundation,Social Services,Thailand,
Myanmar Scholarship Project,Social Services,Thailand,
Children's Medical Fund,Social Services,Thailand,
Food Security for the Karen Hilltribes,Social Services,Thailand,
Karen State Education Assistance Group (KSEAG),Social Services,Thailand,
The Karen Hilltribes Trust: Transforming Community Health [Round 2],Social Services,Thailand,
Highschool Scholarships Cambodia,Social Services,Thailand,
The Karen Hilltribes Trust: Transforming Community Health,Social Services,Thailand,
Foundation for the Education of Rural Children (FERC),Social Services,Thailand,https://give2asia.squarespace.com/how-to-make-a-gift
Child's Dream Foundation,Social Services,Thailand,http://www.childsdream.org/
Asian Youth Orchestra,Social Services,Thailand,http://www.asianyouthorchestra.com/
Development and Education Programme for Daughters and Communities (DEPDC),Social Services,Thailand,https://depdcblog.wordpress.com/
Local Development Foundation Fund,Social Services,Thailand,
Community Learning Center Fund,Social Services,Thailand,https://give2asia.squarespace.com/terms-and-conditions
Schools of Hope Foundation,Social Services,Thailand,http://schoolsofhopefoundation.org/blog/
Children's Medical Fund: Child's Dream Foundation,Social Services,Thailand,https://give2asia.squarespace.com/how-to-make-a-gift
Asian Institute of Technology,Women & Girls,Thailand,http://www.give2asia.org/terms-and-conditions
Foundation for the Education of Rural Children (FERC),Women & Girls,Thailand,https://give2asia.squarespace.com/how-to-make-a-gift
Asian Youth Orchestra,Women & Girls,Thailand,http://www.asianyouthorchestra.com/
Development and Education Programme for Daughters and Communities (DEPDC),Women & Girls,Thailand,https://depdcblog.wordpress.com/
Schools of Hope Foundation,Women & Girls,Thailand,http://schoolsofhopefoundation.org/blog/
Myanmar Scholarship Project,Education,Myanmar,
Children's Medical Fund,Education,Myanmar,
Karen State Education Assistance Group (KSEAG),Education,Myanmar,
Highschool Scholarships Cambodia,Education,Myanmar,
Child's Dream Foundation,Education,Myanmar,http://www.childsdream.org/
Children's Medical Fund: Child's Dream Foundation,Education,Myanmar,https://give2asia.squarespace.com/how-to-make-a-gift
International Rice Research Institute Fund,Environment,Myanmar,
Medical Action Myanmar,Health,Myanmar,
Stichting Medical Action Myanmar,Health,Myanmar,
International Rice Research Institute Fund,Livelihood,Myanmar,
Myanmar Scholarship Project,Social Services,Myanmar,
Children's Medical Fund,Social Services,Myanmar,
Karen State Education Assistance Group (KSEAG),Social Services,Myanmar,
Highschool Scholarships Cambodia,Social Services,Myanmar,
Child's Dream Foundation,Social Services,Myanmar,http://www.childsdream.org/
Children's Medical Fund: Child's Dream Foundation,Social Services,Myanmar,https://give2asia.squarespace.com/how-to-make-a-gift
Asian Youth Orchestra,Arts & Culture,Malaysia,http://www.asianyouthorchestra.com/
Asian Youth Orchestra,Civil Society,Malaysia,http://www.asianyouthorchestra.com/
International School of Kuala Lumpur,Education,Malaysia,http://www.iskl.edu.my/
Asian Youth Orchestra,Education,Malaysia,http://www.asianyouthorchestra.com/
Asian Youth Orchestra,Environment,Malaysia,http://www.asianyouthorchestra.com/
Asian Youth Orchestra,Health,Malaysia,http://www.asianyouthorchestra.com/
Asian Youth Orchestra,Infrastructure,Malaysia,http://www.asianyouthorchestra.com/
Asian Youth Orchestra,Livelihood,Malaysia,http://www.asianyouthorchestra.com/
Asian Youth Orchestra,Social Services,Malaysia,http://www.asianyouthorchestra.com/
Asian Youth Orchestra,Women & Girls,Malaysia,http://www.asianyouthorchestra.com/
Riverkids,Arts & Culture,Cambodia,https://donation.give2asia.org/Riverkids/
Imagine Cambodia Foundation Fund,Arts & Culture,Cambodia,http://www.imaginecambodia.org/
Riverkids,Civil Society,Cambodia,https://donation.give2asia.org/Riverkids/
Imagine Cambodia Foundation Fund,Civil Society,Cambodia,http://www.imaginecambodia.org/
The Pari Project Fund,Civil Society,Cambodia,http://www.pariproject.com/
Youth Star Cambodia Fund,Civil Society,Cambodia,http://www.youthstarcambodia.org/
Build Your Future Today Center Fund,Civil Society,Cambodia,
WAH Foundation,Civil Society,Cambodia,
Child Helpline Cambodia,Education,Cambodia,http://childhelpline.org.kh/en/
Myanmar Scholarship Project,Education,Cambodia,
Children's Medical Fund,Education,Cambodia,
PSE USA - For A Child's Smile Fund,Education,Cambodia,https://give2asia.box.com/shared/static/pb9v999cscf51uog2w1rdmku2dwlfi31.doc
Karen State Education Assistance Group (KSEAG),Education,Cambodia,
Highschool Scholarships Cambodia,Education,Cambodia,
Riverkids,Education,Cambodia,https://donation.give2asia.org/Riverkids/
Imagine Cambodia Foundation Fund,Education,Cambodia,http://www.imaginecambodia.org/
Child's Dream Foundation,Education,Cambodia,http://www.childsdream.org/
Youth Star Cambodia Fund,Education,Cambodia,http://www.youthstarcambodia.org/
Cambodian Center for the Protection of Children's Rights (CCPCR),Education,Cambodia,http://www.ccpcr.org.kh/
Build Your Future Today Center Fund,Education,Cambodia,
WAH Foundation,Education,Cambodia,
PSE USA - For A Child's Smile Fund,Education,Cambodia,
Phare Ponleu Selpak Fund,Education,Cambodia,https://c.na23.content.force.com/servlet/servlet.FileDownload?file=0151600000PXD6V
Children's Medical Fund: Child's Dream Foundation,Education,Cambodia,https://give2asia.squarespace.com/how-to-make-a-gift
Child Helpline Cambodia,Environment,Cambodia,http://childhelpline.org.kh/en/
Riverkids,Environment,Cambodia,https://donation.give2asia.org/Riverkids/
Imagine Cambodia Foundation Fund,Environment,Cambodia,http://www.imaginecambodia.org/
International Rice Research Institute Fund,Environment,Cambodia,
Build Your Future Today Center Fund,Environment,Cambodia,
WAH Foundation,Environment,Cambodia,
Water and Healthcare Foundation (WAH),Environment,Cambodia,
1001fontaines,Health,Cambodia,http://www.give2asia.org/how-to-make-a-gift
1001fontaines Water Kiosk,Health,Cambodia,
"Ponds, Pumps and Gardens",Health,Cambodia,
Riverkids,Health,Cambodia,https://donation.give2asia.org/Riverkids/
Imagine Cambodia Foundation Fund,Health,Cambodia,http://www.imaginecambodia.org/
Bareebo,Health,Cambodia,http://www.bareebo.org/
Youth Star Cambodia Fund,Health,Cambodia,http://www.youthstarcambodia.org/
WAH Foundation,Health,Cambodia,
Water and Healthcare Foundation (WAH),Health,Cambodia,
Child Helpline Cambodia,Infrastructure,Cambodia,http://childhelpline.org.kh/en/
Mother's Heart,Infrastructure,Cambodia,http://www.mothersheartcambodia.org/
1001fontaines,Infrastructure,Cambodia,http://www.give2asia.org/how-to-make-a-gift
1001fontaines Water Kiosk,Infrastructure,Cambodia,
Myanmar Scholarship Project,Infrastructure,Cambodia,
"Ponds, Pumps and Gardens",Infrastructure,Cambodia,
Children's Medical Fund,Infrastructure,Cambodia,
PSE USA - For A Child's Smile Fund,Infrastructure,Cambodia,https://give2asia.box.com/shared/static/pb9v999cscf51uog2w1rdmku2dwlfi31.doc
Karen State Education Assistance Group (KSEAG),Infrastructure,Cambodia,
Precious Women,Infrastructure,Cambodia,http://www.preciouswomen.org/
Highschool Scholarships Cambodia,Infrastructure,Cambodia,
Life and Hope Association: School Building,Infrastructure,Cambodia,
EyeSeeMe Project,Infrastructure,Cambodia,
Temple Garden Foundation,Infrastructure,Cambodia,
Riverkids,Infrastructure,Cambodia,https://donation.give2asia.org/Riverkids/
ECPAT-Cambodia Fund,Infrastructure,Cambodia,http://www.give2asia.org/terms-and-conditions
Imagine Cambodia Foundation Fund,Infrastructure,Cambodia,http://www.imaginecambodia.org/
International Rice Research Institute Fund,Infrastructure,Cambodia,
Bareebo,Infrastructure,Cambodia,http://www.bareebo.org/
Kumar Ney Kdey Sangkheum (Children of Hope) Fund - KNKS,Infrastructure,Cambodia,http://www.knkscambodia.org/
Cambodian League for the Promotion and Defense of Human Rights (LICADHO),Infrastructure,Cambodia,http://www.licadho-cambodia.org/
The Pari Project Fund,Infrastructure,Cambodia,http://www.pariproject.com/
Child's Dream Foundation,Infrastructure,Cambodia,http://www.childsdream.org/
Life and Hope Association,Infrastructure,Cambodia,http://www.lifeandhopeangkor.org/
Youth Star Cambodia Fund,Infrastructure,Cambodia,http://www.youthstarcambodia.org/
Cambodian Center for Human Rights (CCHR) Fund,Infrastructure,Cambodia,
Cambodian Center for the Protection of Children's Rights (CCPCR),Infrastructure,Cambodia,http://www.ccpcr.org.kh/
Build Your Future Today Center Fund,Infrastructure,Cambodia,
WAH Foundation,Infrastructure,Cambodia,
PSE USA - For A Child's Smile Fund,Infrastructure,Cambodia,
Phare Ponleu Selpak Fund,Infrastructure,Cambodia,https://c.na23.content.force.com/servlet/servlet.FileDownload?file=0151600000PXD6V
Children's Medical Fund: Child's Dream Foundation,Infrastructure,Cambodia,https://give2asia.squarespace.com/how-to-make-a-gift
Water and Healthcare Foundation (WAH),Infrastructure,Cambodia,
"Ponds, Pumps and Gardens",Livelihood,Cambodia,
Riverkids,Livelihood,Cambodia,https://donation.give2asia.org/Riverkids/
Imagine Cambodia Foundation Fund,Livelihood,Cambodia,http://www.imaginecambodia.org/
International Rice Research Institute Fund,Livelihood,Cambodia,
Bareebo,Livelihood,Cambodia,http://www.bareebo.org/
Youth Star Cambodia Fund,Livelihood,Cambodia,http://www.youthstarcambodia.org/
Build Your Future Today Center Fund,Livelihood,Cambodia,
WAH Foundation,Livelihood,Cambodia,
Water and Healthcare Foundation (WAH),Livelihood,Cambodia,
Youth Star Cambodia Fund,Media,Cambodia,http://www.youthstarcambodia.org/
Build Your Future Today Center Fund,Media,Cambodia,
Child Helpline Cambodia,Social Services,Cambodia,http://childhelpline.org.kh/en/
Mother's Heart,Social Services,Cambodia,http://www.mothersheartcambodia.org/
1001fontaines,Social Services,Cambodia,http://www.give2asia.org/how-to-make-a-gift
1001fontaines Water Kiosk,Social Services,Cambodia,
Myanmar Scholarship Project,Social Services,Cambodia,
Children's Medical Fund,Social Services,Cambodia,
PSE USA - For A Child's Smile Fund,Social Services,Cambodia,https://give2asia.box.com/shared/static/pb9v999cscf51uog2w1rdmku2dwlfi31.doc
Karen State Education Assistance Group (KSEAG),Social Services,Cambodia,
Precious Women,Social Services,Cambodia,http://www.preciouswomen.org/
Highschool Scholarships Cambodia,Social Services,Cambodia,
Life and Hope Association: School Building,Social Services,Cambodia,
Riverkids,Social Services,Cambodia,https://donation.give2asia.org/Riverkids/
ECPAT-Cambodia Fund,Social Services,Cambodia,http://www.give2asia.org/terms-and-conditions
Imagine Cambodia Foundation Fund,Social Services,Cambodia,http://www.imaginecambodia.org/
Kumar Ney Kdey Sangkheum (Children of Hope) Fund - KNKS,Social Services,Cambodia,http://www.knkscambodia.org/
Cambodian League for the Promotion and Defense of Human Rights (LICADHO),Social Services,Cambodia,http://www.licadho-cambodia.org/
Child's Dream Foundation,Social Services,Cambodia,http://www.childsdream.org/
Life and Hope Association,Social Services,Cambodia,http://www.lifeandhopeangkor.org/
Youth Star Cambodia Fund,Social Services,Cambodia,http://www.youthstarcambodia.org/
Cambodian Center for Human Rights (CCHR) Fund,Social Services,Cambodia,
Build Your Future Today Center Fund,Social Services,Cambodia,
WAH Foundation,Social Services,Cambodia,
PSE USA - For A Child's Smile Fund,Social Services,Cambodia,
Children's Medical Fund: Child's Dream Foundation,Social Services,Cambodia,https://give2asia.squarespace.com/how-to-make-a-gift
Mother's Heart,Women & Girls,Cambodia,http://www.mothersheartcambodia.org/
Precious Women,Women & Girls,Cambodia,http://www.preciouswomen.org/
Riverkids,Women & Girls,Cambodia,https://donation.give2asia.org/Riverkids/
Imagine Cambodia Foundation Fund,Women & Girls,Cambodia,http://www.imaginecambodia.org/
WAH Foundation,Women & Girls,Cambodia,
Myanmar Scholarship Project,Education,Laos,
Children's Medical Fund,Education,Laos,
Karen State Education Assistance Group (KSEAG),Education,Laos,
Highschool Scholarships Cambodia,Education,Laos,
Child's Dream Foundation,Education,Laos,http://www.childsdream.org/
Children's Medical Fund: Child's Dream Foundation,Education,Laos,https://give2asia.squarespace.com/how-to-make-a-gift
Myanmar Scholarship Project,Social Services,Laos,
Children's Medical Fund,Social Services,Laos,
Karen State Education Assistance Group (KSEAG),Social Services,Laos,
Highschool Scholarships Cambodia,Social Services,Laos,
Child's Dream Foundation,Social Services,Laos,http://www.childsdream.org/
Children's Medical Fund: Child's Dream Foundation,Social Services,Laos,https://give2asia.squarespace.com/how-to-make-a-gift
Asian Youth Orchestra,Arts & Culture,Singapore,http://www.asianyouthorchestra.com/
The UWCSEA Foundation Limited,Arts & Culture,Singapore,https://give2asia.squarespace.com/terms-and-conditions
Milaap Fund,Arts & Culture,Singapore,
Asian Youth Orchestra,Civil Society,Singapore,http://www.asianyouthorchestra.com/
The UWCSEA Foundation Limited,Civil Society,Singapore,https://give2asia.squarespace.com/terms-and-conditions
Milaap Fund,Civil Society,Singapore,
Asian Venture Philanthropy Network Fund (AVPN),Civil Society,Singapore,http://www.avpn.asia/
World Toilet Organization,Education,Singapore,
Asian Youth Orchestra,Education,Singapore,http://www.asianyouthorchestra.com/
The UWCSEA Foundation Limited,Education,Singapore,https://give2asia.squarespace.com/terms-and-conditions
Milaap Fund,Education,Singapore,
International Rice Research Institute Fund,Environment,Singapore,
Asian Youth Orchestra,Environment,Singapore,http://www.asianyouthorchestra.com/
The UWCSEA Foundation Limited,Environment,Singapore,https://give2asia.squarespace.com/terms-and-conditions
Milaap Fund,Environment,Singapore,
World Toilet Organization,Health,Singapore,
Asian Youth Orchestra,Health,Singapore,http://www.asianyouthorchestra.com/
The UWCSEA Foundation Limited,Health,Singapore,https://give2asia.squarespace.com/terms-and-conditions
Milaap Fund,Health,Singapore,
Asian Youth Orchestra,Infrastructure,Singapore,http://www.asianyouthorchestra.com/
Milaap Fund,Infrastructure,Singapore,
International Rice Research Institute Fund,Livelihood,Singapore,
World Toilet Organization,Livelihood,Singapore,
Asian Youth Orchestra,Livelihood,Singapore,http://www.asianyouthorchestra.com/
The UWCSEA Foundation Limited,Livelihood,Singapore,https://give2asia.squarespace.com/terms-and-conditions
Milaap Fund,Livelihood,Singapore,
Milaap Fund,Media,Singapore,
World Toilet Organization,Social Services,Singapore,
Asian Youth Orchestra,Social Services,Singapore,http://www.asianyouthorchestra.com/
The UWCSEA Foundation Limited,Social Services,Singapore,https://give2asia.squarespace.com/terms-and-conditions
Milaap Fund,Social Services,Singapore,
Asian Youth Orchestra,Women & Girls,Singapore,http://www.asianyouthorchestra.com/
The UWCSEA Foundation Limited,Women & Girls,Singapore,https://give2asia.squarespace.com/terms-and-conditions
Milaap Fund,Women & Girls,Singapore,
The Medical Fund for Timor-Leste,Health,Timor Leste,
